2023-12-19 19:12:176 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:387 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:984 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:134 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:07 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (8d5afe2bdd1f8fa830fdb19efbbaf038)] -> id: input-sort]
2023-12-19 19:12:415 INFO  DesktopsPage :235 - Displaying products in descending order
2023-12-19 19:12:350 INFO  DesktopsPage :112 - Click On poundSterling[[ChromeDriver: chrome on windows (71a6ce55c1b88e1a936af6c1d1ab142d)] -> xpath: //button[normalize-space()='£Pound Sterling']]
2023-12-19 19:12:329 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:474 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:757 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (71a6ce55c1b88e1a936af6c1d1ab142d)] -> id: input-sort]
2023-12-19 19:12:764 INFO  DesktopsPage :112 - Click On poundSterling[[ChromeDriver: chrome on windows (43cdc1ebcfe1d7aeeaf83e70da4aba3c)] -> xpath: //button[normalize-space()='£Pound Sterling']]
2023-12-19 19:12:66 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:226 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:453 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (43cdc1ebcfe1d7aeeaf83e70da4aba3c)] -> id: input-sort]
2023-12-19 19:12:235 INFO  DesktopsPage :112 - Click On poundSterling[[ChromeDriver: chrome on windows (b3d005762afb83984977bcb8ce073da2)] -> xpath: //button[normalize-space()='£Pound Sterling']]
2023-12-19 19:12:757 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:949 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:278 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (b3d005762afb83984977bcb8ce073da2)] -> id: input-sort]
2023-12-19 19:12:121 INFO  DesktopsPage :112 - Click On poundSterling[[ChromeDriver: chrome on windows (2bf6225b3b168d00595f8010560a1db0)] -> xpath: //button[normalize-space()='£Pound Sterling']]
2023-12-19 19:12:28 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:165 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:643 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (2bf6225b3b168d00595f8010560a1db0)] -> id: input-sort]
2023-12-19 19:12:23 INFO  DesktopsPage :112 - Click On poundSterling[[ChromeDriver: chrome on windows (d2002493527c17ef4e39347e63858325)] -> xpath: //button[normalize-space()='£Pound Sterling']]
2023-12-19 19:12:299 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:461 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:775 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (d2002493527c17ef4e39347e63858325)] -> id: input-sort]
2023-12-19 19:12:762 INFO  DesktopsPage :112 - Click On poundSterling[[ChromeDriver: chrome on windows (3bc6dccd9facf5025d2014d0bcad85eb)] -> xpath: //button[normalize-space()='£Pound Sterling']]
2023-12-19 19:12:384 INFO  HomePage :89 - mouse hover on desktoplink and click.
2023-12-19 19:12:529 INFO  HomePage :74 - Selecting a topMenu: Show AllDesktops
2023-12-19 19:12:484 INFO  DesktopsPage :225 - Selection of sort by position Name: A to A[[ChromeDriver: chrome on windows (3bc6dccd9facf5025d2014d0bcad85eb)] -> id: input-sort]
